2762	0	58660
144	1	25755
2762	2	19555
2762	1	13330
3396	1	57373
3396	1	18084
3396	1	49202
2762	1	19513
144	3	79191
3396	1	57371
2762	4	78356
3396	1	22745
2762	2	22258
2762	1	23956
2762	3	73851
2762	5	16126
2762	1	13082
144	2	22785
2762	1	45794
3396	6	55679
3396	7	73889
2762	3	79539
2762	3	70864
2762	4	11893
3396	1	23967
2762	1	16126
3396	0	24422
3396	2	23616
3396	2	20378
3396	1	12602
3396	1	60411
2762	2	20720
3396	8	36511
2762	4	10200
3396	3	85167
2762	4	12043
3396	4	10089
3396	9	63969
3396	1	38372
3396	1	14361
144	10	54345
3396	1	27862
3396	1	33148
3396	6	54776
2762	1	20946
144	1	20078
2762	11	40657
144	0	25755
3396	0	49394
3396	6	55884
3396	4	10224
144	1	33410
3396	6	56180
144	1	42660
144	1	25580
3396	1	34797
3396	1	24033
2762	2	23703
144	4	12036
2762	12	60413
144	13	51595
3396	1	17989
144	1	31562
2762	3	71094
3396	3	72022
3396	1	49675
2762	2	21863
2762	3	83261
3396	2	21535
3396	1	43750
2762	1	43731
2762	2	23869
2762	2	20066
3396	4	11935
2762	4	83914
2762	3	4158
2762	1	18867
3396	3	70395
144	1	37021
3396	1	24531
144	1	21470
3396	1	20034
3396	1	23038
3396	6	54743
3396	1	53448
3396	4	10248
2762	1	60412
3396	1	43147
3396	1	50943
3396	1	19213
3396	1	50473
3396	1	40213
2762	4	10519
3396	1	24703
144	14	6721
3396	3	10008
3396	1	57374
144	2	20720
144	1	51185
3396	1	29211
3396	1	57369
3396	2	19958
144	0	28919
2762	3	8934
3396	1	57809
2762	1	20024
3396	1	18313
3396	1	32434
3396	1	37104
3396	1	36511
144	1	35429
144	2	19624
3396	1	13349
3396	5	37246
2762	2	20051
3396	1	22421
2762	1	24748
3396	1	20043
2762	1	33116
3396	3	80362
3396	1	37246
2762	1	14361
2762	1	17995
3396	1	38752
3396	1	46172
2762	1	46912
3396	1	20072
3396	0	29211
3396	3	75875
3396	2	22389
3396	1	57888
3396	1	40771
2762	6	55238
2762	2	22055
3396	15	36061
2762	6	55635
2762	1	31767
2762	4	10224
2762	1	51387
144	6	55856
3396	1	24699
3396	4	10222
2762	3	67861
3396	1	46069
2762	1	13076
3396	1	40168
144	2	23252
2762	6	54968
2762	4	11910
3396	3	76529
2762	6	56180
2762	3	75813
2762	1	34813
3396	1	40631
3396	1	3671
2762	1	22442
3396	2	20016
144	6	55573
2762	1	19514
3396	1	28854
2762	3	72636
144	9	63829
3396	1	17231
2762	1	40191
2762	1	21171
3396	1	53638
2762	3	70095
3396	1	41385
2762	1	28214
144	1	22388
144	0	42660
3396	1	18000
3396	1	43597
2762	6	56023
3396	1	28585
144	3	65486
3396	3	67251
144	1	20902
2762	14	8157
3396	16	24974
3396	1	49676
2762	1	19690
3396	1	29495
3396	1	20720
3396	1	41696
3396	2	19215
3396	1	23822
2762	1	50473
3396	1	23400
3396	3	73839
2762	1	18009
144	1	35677
3396	3	74634
3396	1	13080
144	0	37021
2762	3	66492
144	1	36284
3396	1	20346
2762	1	20130
