1	3114	1	978302174
1	1246	1	978302091
1	661	1	978302109
1	2294	1	978824291
1	2687	1	978824268
1	1197	1	978302268
1	595	1	978824268
1	1566	1	978824330
1	3408	1	978300275
1	720	1	978300760
1	2398	1	978302281
1	48	1	978824351
1	3105	1	978301713
1	783	1	978824291
1	1287	1	978302039
1	3186	1	978300019
1	2791	1	978302188
1	1022	1	978300055
1	1270	1	978300055
1	150	1	978301777
1	2804	1	978300719
1	2018	1	978301777
1	914	1	978301968
1	2762	1	978302091
1	2692	1	978301570
1	1035	1	978301753
1	1207	1	978300719
1	1029	1	978302205
1	531	1	978302149
1	588	1	978824268
1	2321	1	978302205
2	1687	1	978300174
2	1917	1	978300174
2	480	1	978299809
2	265	1	978299026
2	235	1	978299351
2	1253	1	978299120
2	589	1	978299773
2	2278	1	978299889
2	920	1	978298775
2	2353	1	978299861
2	356	1	978299686
2	1198	1	978298124
2	2194	1	978299297
2	1372	1	978299941
2	3809	1	978299712
2	1246	1	978299418
2	165	1	978300002
2	1217	1	978298151
2	1597	1	978300025
2	1801	1	978300002
2	292	1	978300123
2	2321	1	978299666
2	1196	1	978298730
2	2028	1	978299773
2	3471	1	978298814
2	3257	1	978300073
2	1265	1	978299712
2	1124	1	978299418
2	1784	1	978298841
2	1957	1	978298750
2	1610	1	978299809
2	1247	1	978298652
2	1955	1	978299200
2	2312	1	978299046
2	1225	1	978298391
2	442	1	978300025
2	2002	1	978300100
2	318	1	978298413
2	3035	1	978298625
2	2067	1	978298625
2	3108	1	978299712
2	590	1	978299083
2	736	1	978300100
2	2571	1	978299773
2	2006	1	978299861
2	1544	1	978300174
2	2501	1	978298600
2	349	1	978299839
2	1792	1	978299941
2	2396	1	978299641
2	1188	1	978299620
2	3451	1	978298924
2	2268	1	978299297
2	3735	1	978298814
2	3147	1	978298652
2	1953	1	978298775
2	2858	1	978298434
2	1527	1	978299839
2	380	1	978299809
2	1259	1	978298841
2	1210	1	978298151
2	1552	1	978299941
2	2916	1	978299809
2	2717	1	978298196
3	552	1	978297837
3	1197	1	978297570
3	3552	1	978298459
3	590	1	978297439
3	2735	1	978297867
3	2081	1	978298504
3	2167	1	978297600
3	1196	1	978297539
3	2470	1	978297777
3	1259	1	978298296
3	3671	1	978297419
3	1961	1	978297095
3	1210	1	978297600
3	1198	1	978297570
3	480	1	978297690
3	2997	1	978298147
3	2871	1	978297539
3	733	1	978297757
3	2355	1	978298430
3	1270	1	978298231
3	1136	1	978298079
3	3534	1	978297068
3	1079	1	978298296
3	3421	1	978298147
3	648	1	978297867
3	3868	1	978298486
3	2115	1	978297777
3	2006	1	978297757
4	1214	1	978294260
4	1201	1	978294230
4	2951	1	978294282
4	1036	1	978294282
4	2947	1	978294230
4	1387	1	978294199
4	2028	1	978294230
4	3702	1	978294260
4	1240	1	978294260
4	480	1	978294008
4	2692	1	978294230
4	1954	1	978294282
5	515	1	978245891
5	296	1	978244177
5	2890	1	978245445
5	2384	1	978245708
5	1466	1	978245695
5	2580	1	978242607
5	2571	1	978244493
5	1513	1	978242977
5	265	1	978245037
5	2683	1	978241434
5	3081	1	978243054
5	1500	1	978245314
5	2355	1	978241981
5	2959	1	978242541
5	1732	1	978245740
5	3409	1	978242541
5	1095	1	978245065
5	2759	1	978242080
5	3260	1	978245065
5	994	1	978244540
5	2997	1	978241556
5	2395	1	978243054
5	2427	1	978246450
5	2599	1	978242323
5	50	1	978244205
5	3786	1	978241981
5	224	1	978245829
5	3267	1	978244893
5	34	1	978244603
5	2770	1	978241981
5	497	1	978245687
5	1089	1	978244205
5	2762	1	978243054
5	3499	1	978245065
5	3624	1	978243803
5	1449	1	978244830
5	913	1	978242740
5	1635	1	978245314
5	29	1	978245065
5	908	1	978241072
5	377	1	978245999
5	2692	1	978242977
5	47	1	978245334
5	1250	1	978241112
5	1485	1	978246576
5	3408	1	978242323
5	2858	1	978241390
5	318	1	978244177
5	1923	1	978245314
5	1517	1	978245568
5	1643	1	978245916
5	1912	1	978244624
5	2716	1	978242607
6	1569	1	978238948
6	3534	1	978236219
6	1566	1	978237570
6	1959	1	978236612
6	3408	1	978238230
6	3699	1	978236567
6	3578	1	978238195
6	597	1	978239019
6	17	1	978236383
6	1441	1	978236383
6	912	1	978236122
6	48	1	978237570
6	2081	1	978236567
6	368	1	978237909
6	914	1	978237767
6	590	1	978237232
6	266	1	978237909
6	1688	1	978237570
