uri	predicate_id
http://dbpedia.org/ontology/starring	0
http://purl.org/dc/terms/subject	1
http://dbpedia.org/ontology/producer	2
http://dbpedia.org/property/director	3
http://dbpedia.org/ontology/musicComposer	4
http://dbpedia.org/property/title	5
http://dbpedia.org/ontology/distributor	6
http://dbpedia.org/property/music	7
http://dbpedia.org/property/cinematography	8
http://dbpedia.org/property/editing	9
http://dbpedia.org/property/distributor	10
http://dbpedia.org/ontology/writer	11
http://dbpedia.org/ontology/productionCompany	12
http://dbpedia.org/ontology/director	13
http://dbpedia.org/ontology/editing	14
http://dbpedia.org/ontology/cinematography	15
http://dbpedia.org/property/country	16
http://dbpedia.org/property/producer	17
http://dbpedia.org/ontology/country	18
http://dbpedia.org/property/screenplay	19
http://dbpedia.org/property/starring	20
http://dbpedia.org/property/studio	21
http://dbpedia.org/property/format	22
http://dbpedia.org/property/story	23
http://dbpedia.org/property/label	24
http://dbpedia.org/ontology/language	25
http://dbpedia.org/property/writer	26
http://dbpedia.org/property/extra	27
http://dbpedia.org/property/artist	28
http://dbpedia.org/property/rev	29
http://dbpedia.org/property/genre	30
http://dbpedia.org/property/type	31
http://dbpedia.org/ontology/executiveProducer	32
http://dbpedia.org/ontology/author	33
http://dbpedia.org/property/executiveProducer	34
http://dbpedia.org/ontology/network	35
http://dbpedia.org/property/company	36
http://dbpedia.org/ontology/company	37
http://dbpedia.org/property/network	38
http://dbpedia.org/property/allMusic	39
http://dbpedia.org/property/caption	40
http://dbpedia.org/property/chronology	41
http://dbpedia.org/property/narrator	42
http://dbpedia.org/ontology/narrator	43
http://dbpedia.org/property/language	44
http://dbpedia.org/ontology/format	45
http://dbpedia.org/property/audioFormat	46
http://dbpedia.org/property/colorProcess	47
http://dbpedia.org/property/basedOn	48
http://dbpedia.org/property/allWriting	49
http://dbpedia.org/property/note	50
http://dbpedia.org/property/source	51
http://dbpedia.org/property/productionCompanies	52
http://dbpedia.org/property/lyrics	53
http://dbpedia.org/ontology/composer	54
http://dbpedia.org/ontology/creator	55
http://dbpedia.org/property/producers	56
http://dbpedia.org/property/themeMusicComposer	57
http://dbpedia.org/ontology/wikiPageDisambiguates	58
http://dbpedia.org/property/creator	59
