0	27	1-5884	1	48
0	27	13-12666	-1	48
0	62	1-5884	-1	150
0	62	1-9952	-1	150
0	62	1-6610	1	150
0	62	12-4391	-1	150
0	88	1-5884	1	2294
0	88	13-12666	-1	2294
0	97	1-5884	-1	2321
0	97	1-9952	-1	2321
0	97	1-6610	-1	2321
0	97	1-6109	-1	2321
0	97	1-9624	-1	2321
0	97	0-11541	-1	2321
0	97	30-3995	-1	2321
0	97	4-15466	-1	2321
0	97	15-12188	1	2321
0	126	1-5884	-1	2398
0	126	1-9952	1	2398
0	126	1-6211	-1	2398
0	126	1-6641	1	2398
0	126	1-6143	-1	2398
0	126	1-7166	-1	2398
0	126	1-5971	-1	2398
0	126	8-4488	-1	2398
0	126	10-15302	-1	2398
0	126	10-15183	-1	2398
0	126	0-13022	-1	2398
0	183	1-5884	-1	531
0	183	1-9952	-1	531
0	183	1-6610	-1	531
0	183	1-6109	-1	531
0	183	1-9624	-1	531
0	183	0-11541	-1	531
0	183	30-3995	-1	531
0	183	4-15466	1	531
0	200	1-5884	1	588
0	200	13-12666	-1	588
0	206	1-5884	-1	595
0	206	1-9952	1	595
0	206	1-6211	1	595
0	220	1-5884	-1	2687
0	220	1-9952	-1	2687
0	220	1-6610	-1	2687
0	220	1-6109	1	2687
0	222	1-5884	-1	2692
0	222	1-9952	-1	2692
0	222	1-6610	-1	2692
0	222	1-6109	-1	2692
0	222	1-9624	-1	2692
0	222	0-11541	1	2692
0	229	1-5884	1	661
0	229	13-12666	-1	661
0	242	1-5884	-1	2762
0	242	1-9952	-1	2762
0	242	1-6610	-1	2762
0	242	1-6109	-1	2762
0	242	1-9624	1	2762
0	244	1-5884	-1	720
0	244	1-9952	-1	720
0	244	1-6610	-1	720
0	244	1-6109	-1	720
0	244	1-9624	-1	720
0	244	0-11541	-1	720
0	244	30-3995	1	720
0	248	1-5884	-1	2791
0	248	1-9952	1	2791
0	248	1-6211	-1	2791
0	248	1-6641	1	2791
0	248	1-6143	-1	2791
0	248	1-7166	-1	2791
0	248	1-5971	-1	2791
0	248	8-4488	-1	2791
0	248	10-15302	-1	2791
0	248	10-15183	-1	2791
0	248	0-13022	-1	2791
0	255	1-5884	-1	2804
0	255	1-9952	1	2804
0	255	1-6211	-1	2804
0	255	1-6641	1	2804
0	255	1-6143	-1	2804
0	255	1-7166	-1	2804
0	255	1-5971	-1	2804
0	255	8-4488	-1	2804
0	255	10-15302	-1	2804
0	255	10-15183	-1	2804
0	255	0-13022	-1	2804
0	259	1-5884	-1	783
0	259	1-9952	-1	783
0	259	1-6610	-1	783
0	259	1-6109	1	783
0	295	1-5884	-1	914
0	295	1-9952	1	914
0	295	1-6211	1	914
0	329	1-5884	1	1022
0	329	13-12666	-1	1022
0	332	1-5884	1	1029
0	332	13-12666	-1	1029
0	336	1-5884	-1	1035
0	336	1-9952	1	1035
0	336	1-6211	1	1035
0	347	1-5884	-1	3105
0	347	1-9952	-1	3105
0	347	1-6610	1	3105
0	347	12-4391	-1	3105
0	351	1-5884	1	3114
0	351	13-12666	-1	3114
0	381	1-5884	-1	3186
0	381	1-9952	-1	3186
0	381	1-6610	1	3186
0	381	12-4391	-1	3186
0	393	1-5884	-1	1197
0	393	1-9952	1	1197
0	393	1-6211	-1	1197
0	393	1-6641	1	1197
0	393	1-6143	-1	1197
0	393	1-7166	-1	1197
0	393	1-5971	-1	1197
0	393	8-4488	-1	1197
0	393	10-15302	-1	1197
0	393	10-15183	-1	1197
0	393	0-13022	-1	1197
0	403	1-5884	-1	1207
0	403	1-9952	1	1207
0	403	1-6211	-1	1207
0	403	1-6641	1	1207
0	403	1-6143	-1	1207
0	403	1-7166	-1	1207
0	403	1-5971	-1	1207
0	403	8-4488	-1	1207
0	403	10-15302	-1	1207
0	403	10-15183	-1	1207
0	403	0-13022	-1	1207
0	432	1-5884	-1	1246
0	432	1-9952	-1	1246
0	432	1-6610	-1	1246
0	432	1-6109	-1	1246
0	432	1-9624	-1	1246
0	432	0-11541	-1	1246
0	432	30-3995	-1	1246
0	432	4-15466	-1	1246
0	432	15-12188	-1	1246
0	432	26-15092	1	1246
0	449	1-5884	-1	1270
0	449	1-9952	1	1270
0	449	1-6211	-1	1270
0	449	1-6641	1	1270
0	449	1-6143	-1	1270
0	449	1-7166	-1	1270
0	449	1-5971	-1	1270
0	449	8-4488	-1	1270
0	449	10-15302	-1	1270
0	449	10-15183	-1	1270
0	449	0-13022	-1	1270
0	460	1-5884	-1	1287
0	460	1-9952	1	1287
0	460	1-6211	-1	1287
0	460	1-6641	1	1287
0	460	1-6143	-1	1287
0	460	1-7166	-1	1287
0	460	1-5971	-1	1287
0	460	8-4488	-1	1287
0	460	10-15302	-1	1287
0	460	10-15183	-1	1287
0	460	0-13022	-1	1287
