2762	(0, 52564)
144	(1, 19657)
2762	(2, 13457)
2762	(1, 7232)
3396	(1, 51277)
3396	(1, 11986)
3396	(1, 43106)
2762	(1, 13415)
3396	(1, 51275)
2762	(3, 55879)
3396	(1, 16647)
2762	(2, 16160)
2762	(1, 17858)
2762	(4, 10028)
2762	(1, 6984)
144	(2, 16687)
2762	(1, 39697)
3396	(5, 49583)
3396	(6, 55860)
2762	(3, 5794)
3396	(1, 17869)
2762	(1, 10028)
3396	(0, 18324)
3396	(2, 17518)
3396	(2, 14280)
3396	(1, 6503)
3396	(1, 54315)
2762	(2, 14622)
3396	(7, 30413)
2762	(3, 4101)
2762	(3, 5944)
3396	(3, 3990)
3396	(1, 32274)
3396	(1, 8263)
144	(8, 48249)
3396	(1, 21764)
3396	(1, 27050)
3396	(5, 48680)
2762	(1, 14848)
144	(1, 13980)
2762	(9, 34559)
144	(0, 19657)
3396	(0, 43298)
3396	(5, 49788)
3396	(3, 4125)
144	(1, 27312)
3396	(5, 50084)
144	(1, 36563)
144	(1, 19482)
3396	(1, 28699)
3396	(1, 17935)
2762	(2, 17605)
144	(3, 5937)
2762	(10, 54317)
144	(11, 45499)
3396	(1, 11891)
144	(1, 25464)
3396	(1, 43579)
2762	(2, 15765)
3396	(2, 15437)
3396	(1, 37653)
2762	(1, 37634)
2762	(2, 17771)
2762	(2, 13968)
3396	(3, 5836)
2762	(3, 56308)
2762	(1, 12769)
144	(1, 30923)
3396	(1, 18433)
144	(1, 15372)
3396	(1, 13936)
3396	(1, 16940)
3396	(5, 48647)
3396	(1, 47352)
3396	(3, 4149)
2762	(1, 54316)
3396	(1, 37050)
3396	(1, 44847)
3396	(1, 13115)
3396	(1, 44377)
3396	(1, 34115)
2762	(3, 4420)
3396	(1, 18605)
3396	(1, 51278)
144	(2, 14622)
144	(1, 45089)
3396	(1, 23113)
3396	(1, 51273)
3396	(2, 13860)
144	(0, 22821)
3396	(1, 51713)
2762	(1, 13926)
3396	(1, 12215)
3396	(1, 26336)
3396	(1, 31006)
3396	(1, 30413)
144	(1, 29331)
144	(2, 13526)
3396	(1, 7251)
3396	(4, 31148)
2762	(2, 13953)
3396	(1, 16323)
2762	(1, 18650)
3396	(1, 13945)
2762	(1, 27018)
3396	(1, 31148)
2762	(1, 8263)
2762	(1, 11897)
3396	(1, 32654)
3396	(1, 40075)
2762	(1, 40816)
3396	(1, 13974)
3396	(0, 23113)
3396	(2, 16291)
3396	(1, 51792)
3396	(1, 34673)
2762	(5, 49142)
2762	(2, 15957)
3396	(12, 29963)
2762	(5, 49539)
2762	(1, 25669)
2762	(3, 4125)
2762	(1, 45291)
144	(5, 49760)
3396	(1, 18601)
3396	(3, 4123)
3396	(1, 39972)
2762	(1, 6978)
3396	(1, 34070)
144	(2, 17154)
2762	(5, 48872)
2762	(3, 5811)
2762	(5, 50084)
2762	(1, 28715)
3396	(1, 34533)
3396	(1, 3671)
2762	(1, 16344)
3396	(2, 13918)
144	(5, 49477)
2762	(1, 13416)
3396	(1, 22756)
3396	(1, 11133)
2762	(1, 34093)
2762	(1, 15073)
3396	(1, 47542)
3396	(1, 35288)
2762	(1, 22116)
144	(1, 16290)
144	(0, 36563)
3396	(1, 11902)
3396	(1, 37500)
2762	(5, 49927)
3396	(1, 22487)
144	(1, 14804)
3396	(13, 18876)
3396	(1, 43580)
2762	(1, 13592)
3396	(1, 23397)
3396	(1, 14622)
3396	(1, 35599)
3396	(2, 13117)
3396	(1, 17724)
2762	(1, 44377)
3396	(1, 17302)
2762	(1, 11911)
144	(1, 29579)
3396	(1, 6982)
144	(0, 30923)
144	(1, 30186)
3396	(1, 14248)
2762	(1, 14032)
3396	(1, 25686)
3396	(5, 49321)
2762	(1, 10029)
144	(1, 21186)
2762	(1, 54315)
3396	(1, 6093)
3396	(5, 49704)
3396	(0, 47542)
3396	(1, 54310)
3396	(5, 49571)
2762	(3, 3990)
3396	(0, 37500)
2762	(1, 54317)
144	(3, 56337)
3396	(1, 12041)
2762	(1, 16704)
2762	(2, 14703)
3396	(1, 13045)
3396	(3, 4183)
2762	(14, 54317)
144	(1, 37397)
144	(2, 13978)
3396	(3, 4547)
3396	(3, 4685)
2762	(11, 30478)
2762	(15, 35378)
144	(3, 56335)
3396	(0, 31006)
3396	(1, 50995)
2762	(2, 15814)
3396	(5, 49448)
2762	(1, 46846)
2762	(2, 17801)
144	(0, 30186)
3396	(5, 49510)
3396	(1, 10210)
3396	(1, 16684)
3396	(1, 12159)
2762	(3, 4123)
2762	(1, 14976)
3396	(1, 27288)
3396	(0, 31148)
2762	(2, 17271)
3396	(1, 3403)
3396	(1, 8637)
3396	(1, 21252)
3396	(2, 14292)
3396	(1, 17855)
3396	(8, 32810)
3396	(1, 7014)
144	(15, 22821)
2762	(3, 4149)
2762	(1, 6980)
2762	(1, 13457)
3396	(1, 30134)
3396	(1, 30380)
2762	(1, 16160)
2762	(1, 34819)
3396	(1, 55308)
3396	(1, 51314)
2762	(16, 47081)
3396	(3, 4518)
3396	(1, 19263)
3396	(5, 49112)
144	(1, 17793)
3396	(1, 11042)
3396	(5, 49560)
3396	(0, 22756)
3396	(0, 11133)
3396	(1, 7235)
2762	(1, 41185)
2762	(1, 14622)
144	(1, 13524)
3396	(5, 49520)
2762	(1, 47080)
2762	(1, 27813)
2762	(5, 49601)
3396	(1, 13022)
3396	(5, 48768)
2762	(13, 8513)
144	(5, 50084)
3396	(1, 45723)
2762	(1, 16705)
2762	(5, 48644)
2762	(5, 49704)
3396	(1, 34064)
2762	(1, 15507)
3396	(5, 49832)
144	(3, 55880)
2762	(0, 11911)
2762	(5, 49791)
2762	(1, 7259)
3396	(0, 25686)
2762	(1, 34364)
3396	(3, 4031)
