uri	predicate_id
http://dbpedia.org/ontology/starring	0
http://dbpedia.org/ontology/wikiPageWikiLink	1
http://purl.org/dc/terms/subject	2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	3
http://dbpedia.org/ontology/producer	4
http://dbpedia.org/property/wikiPageUsesTemplate	5
http://dbpedia.org/ontology/wikiPageExternalLink	6
http://dbpedia.org/property/director	7
http://dbpedia.org/ontology/musicComposer	8
http://dbpedia.org/property/title	9
http://dbpedia.org/ontology/distributor	10
http://dbpedia.org/property/music	11
http://dbpedia.org/property/cinematography	12
http://dbpedia.org/property/editing	13
http://dbpedia.org/property/distributor	14
http://dbpedia.org/ontology/writer	15
http://dbpedia.org/ontology/productionCompany	16
http://purl.org/linguistics/gold/hypernym	17
http://dbpedia.org/ontology/director	18
http://dbpedia.org/ontology/editing	19
http://dbpedia.org/ontology/cinematography	20
http://dbpedia.org/property/wordnet_type	21
http://dbpedia.org/property/country	22
http://dbpedia.org/property/producer	23
http://dbpedia.org/ontology/country	24
http://dbpedia.org/property/screenplay	25
http://www.w3.org/2000/01/rdf-schema#seeAlso	26
http://dbpedia.org/property/starring	27
http://dbpedia.org/property/studio	28
http://dbpedia.org/property/format	29
http://dbpedia.org/property/story	30
http://dbpedia.org/property/nextTitle	31
http://dbpedia.org/property/label	32
http://dbpedia.org/property/prevTitle	33
http://dbpedia.org/ontology/language	34
http://www.w3.org/2002/07/owl#differentFrom	35
http://dbpedia.org/property/writer	36
http://dbpedia.org/property/extra	37
http://dbpedia.org/property/artist	38
http://dbpedia.org/property/rev	39
http://dbpedia.org/property/genre	40
http://dbpedia.org/property/type	41
http://dbpedia.org/ontology/executiveProducer	42
http://dbpedia.org/ontology/author	43
http://dbpedia.org/property/executiveProducer	44
http://dbpedia.org/ontology/network	45
http://dbpedia.org/property/company	46
http://dbpedia.org/ontology/company	47
http://dbpedia.org/property/network	48
http://dbpedia.org/property/allMusic	49
http://dbpedia.org/property/caption	50
http://dbpedia.org/property/chronology	51
http://dbpedia.org/property/narrator	52
http://dbpedia.org/ontology/narrator	53
http://dbpedia.org/property/language	54
http://dbpedia.org/ontology/format	55
http://dbpedia.org/ontology/location	56
http://dbpedia.org/ontology/editor	57
http://dbpedia.org/property/audioFormat	58
http://dbpedia.org/property/editor	59
http://dbpedia.org/ontology/person	60
http://dbpedia.org/property/colorProcess	61
http://dbpedia.org/property/basedOn	62
http://dbpedia.org/property/allLyrics	63
http://dbpedia.org/property/allWriting	64
http://dbpedia.org/property/note	65
http://dbpedia.org/property/source	66
http://dbpedia.org/property/productionCompanies	67
http://dbpedia.org/property/lyrics	68
http://dbpedia.org/ontology/genre	69
http://dbpedia.org/ontology/composer	70
http://dbpedia.org/ontology/previousWork	71
http://dbpedia.org/ontology/creator	72
http://dbpedia.org/property/composer	73
http://dbpedia.org/property/producers	74
http://dbpedia.org/property/themeMusicComposer	75
http://dbpedia.org/property/recorded	76
http://dbpedia.org/property/directors	77
http://dbpedia.org/ontology/wikiPageDisambiguates	78
http://dbpedia.org/property/creator	79
http://dbpedia.org/property/owner	80
http://dbpedia.org/property/infoa	81
